user_id,age,income,city,signup_time,product_name,purchase_amount,transaction_date,timezone,country,department,rating,last_login
1,25,45000,"New York","2023-01-15 10:30:00","Laptop Pro X1",1200.50,"2023-01-15","UTC-5","USA","Electronics",4.5,"2023-06-15 14:30:00"
2,32,78000,"Los Angeles","2023-02-20 14:45:00","Smartphone Z5",899.99,"2023-02-20","UTC-8","USA","Electronics",4.2,"2023-06-20 09:15:00"
3,45,125000,"Chicago","2023-03-10 09:15:00","Tablet Max",650.00,"2023-03-10","UTC-6","USA","Electronics",3.8,"2023-06-10 16:45:00"
4,28,52000,"Miami","2023-04-05 16:20:00","Wireless Headphones",299.99,"2023-04-05","UTC-5","USA","Audio",4.7,"2023-06-05 11:20:00"
5,50,95000,"Dallas","2023-05-12 11:00:00","4K Monitor",450.75,"2023-05-12","UTC-6","USA","Electronics",4.0,"2023-06-12 13:00:00"
6,22,35000,"Seattle","2023-06-18 13:30:00","Mechanical Keyboard",89.99,"2023-06-18","UTC-8","USA","Accessories",4.8,"2023-06-25 10:30:00"
7,38,110000,"Boston","2023-07-22 10:45:00","Gaming Mouse",49.99,"2023-07-22","UTC-5","USA","Accessories",4.3,"2023-08-01 15:20:00"
8,29,48000,"Denver","2023-08-30 08:15:00","Webcam HD",79.99,"2023-08-30","UTC-7","USA","Accessories",3.9,"2023-09-05 12:45:00"
9,41,85000,"Phoenix","2023-09-14 17:30:00","Printer Laser",249.99,"2023-09-14","UTC-7","USA","Office",4.1,"2023-09-20 14:10:00"
10,33,62000,"Atlanta","2023-10-05 12:00:00","External SSD",129.99,"2023-10-05","UTC-5","USA","Storage",4.6,"2023-10-12 08:45:00"
11,27,41000,"Portland","2023-11-11 15:45:00","USB-C Hub",39.99,"2023-11-11","UTC-8","USA","Accessories",4.4,"2023-11-18 17:30:00"
12,48,135000,"San Francisco","2023-12-03 09:00:00","MacBook Air",1099.00,"2023-12-03","UTC-8","USA","Electronics",4.9,"2023-12-10 10:15:00"
13,19,28000,"Austin","2024-01-08 14:20:00","Mousepad",19.99,"2024-01-08","UTC-6","USA","Accessories",3.7,"2024-01-15 13:45:00"
14,55,142000,"Washington DC","2024-02-14 11:30:00","Docking Station",199.99,"2024-02-14","UTC-5","USA","Accessories",4.2,"2024-02-20 09:30:00"
15,31,73000,"Las Vegas","2024-03-19 16:45:00","Microphone",149.99,"2024-03-19","UTC-8","USA","Audio",4.5,"2024-03-25 11:45:00"
16,24,39000,"Nashville","2024-04-22 10:15:00","Laptop Stand",59.99,"2024-04-22","UTC-6","USA","Accessories",4.0,"2024-04-28 14:20:00"
17,37,89000,"Philadelphia","2024-05-07 13:00:00","Monitor Arm",89.99,"2024-05-07","UTC-5","USA","Accessories",4.1,"2024-05-14 16:30:00"
18,42,115000,"San Diego","2024-06-11 15:30:00","Graphics Tablet",349.99,"2024-06-11","UTC-8","USA","Electronics",4.3,"2024-06-18 10:45:00"
19,26,46000,"Charlotte","2024-07-03 08:45:00","Cables Pack",29.99,"2024-07-03","UTC-5","USA","Accessories",3.8,"2024-07-09 12:15:00"
20,52,128000,"Detroit","2024-08-09 17:00:00","NAS Storage",599.99,"2024-08-09","UTC-5","USA","Storage",4.7,"2024-08-16 15:00:00"
21,23,33000,"Indianapolis","2024-09-12 12:30:00","Screen Cleaner",14.99,"2024-09-12","UTC-5","USA","Accessories",3.5,"2024-09-18 11:30:00"
22,44,98000,"Columbus","2024-10-18 09:45:00","Router WiFi6",179.99,"2024-10-18","UTC-5","USA","Networking",4.4,"2024-10-25 14:00:00"
23,30,67000,"Fort Worth","2024-11-05 14:15:00","Smart Speaker",89.99,"2024-11-05","UTC-6","USA","Audio",4.2,"2024-11-12 10:45:00"
24,47,121000,"Jacksonville","2024-12-10 16:00:00","Gaming Chair",399.99,"2024-12-10","UTC-5","USA","Furniture",4.6,"2024-12-17 13:15:00"
25,35,82000,"San Jose","2025-01-14 11:15:00,"VR Headset",499.99,"2025-01-14","UTC-8","USA","Electronics",4.8,"2025-01-21 09:30:00"
,,,,"",,12000.50,,,,,,
26,,,"new york ","2025-02-03T09:20:00","Laptop","-150.00","2025-02-03","EST","","Tech",,"2025-02-10 08:00:00"
27,150,5000000,"LONDON","2025-03-08 14:00:00","Super Computer",99999.99,"2025-03-08","UTC+0","UK","Enterprise",5.0,"2025-03-15 16:45:00"
28,17,15000,"Houston","2025-04-12 10:30:00","Earbuds",79.99,"2025-04-12","UTC-6","USA","Audio",3.9,"2025-04-19 12:30:00"
29,61,95000,"Oklahoma City","2025-05-17 15:45:00","Fax Machine",129.99,"2025-05-17","UTC-6","USA","Office",2.5,"2025-05-24 14:15:00"
30,29,54000,"Memphis","2025-06-21 13:20:00","Power Bank",49.99,"2025-06-21","UTC-6","USA","Accessories",4.1,"2025-06-28 10:00:00"
